"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
63,"0.460058420130058","-0.579044877750655","-2.39639083973152",-1.93633241960146,-2.97543571748218
64,"1.01987642192473","-0.591257978464731","-2.39424322672627",-1.37436680480154,-2.985501205191
65,"1.14731304945484","-0.717710362874621","-2.37200720397801",-1.22469415452317,-3.08971756685263
66,"1.10229231960798","-0.692964075562686","-2.41839768997574",-1.31610537036776,-3.11136176553843
67,"1.19149929812861","-0.801852544358892","-2.39488266186167",-1.20338336373306,-3.19673520622056
68,"1.20551046632044","-0.790318335660574","-2.4251550176967",-1.21964455137626,-3.21547335335727
69,"1.33825720961832","-0.923165135469839","-2.30426013451857",-0.96600292490025,-3.22742526998841
70,"1.31285845123166","-0.90281708659793","-2.30539710249429",-0.99253865126263,-3.20821418909222
71,"1.34446140908109","-0.946396865868439","-2.2908544817134",-0.94639307263231,-3.23725134758184
72,"1.33093251340016","-0.933574328444974","-2.28799663339866",-0.9570641199985,-3.22157096184363
73,"1.34583192911752","-0.94821266782007","-2.26459939618017",-0.91876746706265,-3.21281206400024
74,"1.3485565812429","-0.924822190034109","-2.26804718334421",-0.91949060210131,-3.19286937337832
75,"1.34750624121994","-0.924822190034105","-2.26804718334421",-0.92054094212427,-3.19286937337832
76,"1.34584202873105","-0.917735888369302","-2.26422236916069",-0.91838034042964,-3.18195825752999
77,"1.34525948263141","-0.917735888369306","-2.26422236916068",-0.91896288652927,-3.18195825752999
78,"1.24951807295829","-0.896967823136904","-2.27151274644994",-1.02199467349165,-3.16848056958684
79,"1.34902369091007","-1.0040226673037","-2.23393244246472",-0.88490875155465,-3.23795510976842
80,"1.35575982657742","-1.02695274598245","-2.20875788733669",-0.85299806075927,-3.23571063331914
81,"1.25502805489909","-0.910996378882714","-2.31420024796582",-1.05917219306673,-3.22519662684853
82,"1.19400026755719","-0.844925000774273","-2.33812108277079",-1.1441208152136,-3.18304608354506
83,"1.31609106740467","-0.951139141008836","-2.28855568946937",-0.9724646220647,-3.23969483047821
84,"1.20691659924567","-0.863384158883907","-2.30518392322788",-1.09826732398221,-3.16856808211179
85,"1.26134598912276","-0.863384158883908","-2.30518392322788",-1.04383793410512,-3.16856808211179
86,"1.04195624424211","-0.659538142730505","-2.4025143923479",-1.36055814810579,-3.06205253507841
87,"1.15612164765707","-0.683791071918282","-2.39093433294853",-1.23481268529146,-3.07472540486681
88,"1.1061440395122","-0.634401993866185","-2.35279992901428",-1.24665588950208,-2.98720192288046
89,"1.21334130133579","-0.634401993866187","-2.35279992901428",-1.13945862767849,-2.98720192288047
90,"1.72593391217881","-1.15145634204986","-1.86747250357012",-0.14153859139131,-3.01892884561998
91,"1.68968603768135","-1.15145634204986","-1.86747250357012",-0.17778646588877,-3.01892884561998
92,"1.62513665998536","-1.13028421174659","-1.81997904024562",-0.19484238026026,-2.95026325199221
93,"1.49348537097164","-0.975468854448779","-1.89346166355127",-0.39997629257963,-2.86893051800005
94,"1.67387380538194","-1.10821931341416","-1.75842090052523",-0.0845470951432901,-2.86664021393939
95,"1.28139889990595","-0.829747830464641","-1.89133939854061",-0.60994049863466,-2.72108722900525
96,"0.796421032790732","-0.589943423218611","-2.10759186633206",-1.31117083354133,-2.69753528955067
97,"0.809226883684824","-0.589943423218613","-2.10759186633206",-1.29836498264724,-2.69753528955067
98,"0.723552583560982","-0.583936754223002","-2.1322364673472",-1.40868388378622,-2.7161732215702
99,"0.722536383809057","-0.583936754223003","-2.1322364673472",-1.40970008353814,-2.7161732215702
100,"0.752883562273619","-0.623383885198656","-2.11410671248895",-1.36122315021533,-2.73749059768761
101,"0.722320915747656","-0.623383885198656","-2.11410671248895",-1.39178579674129,-2.73749059768761
102,"0.5546813682902","-0.440477892219637","-2.26050316911431",-1.70582180082411,-2.70098106133395
103,"0.463633362710103","-0.440477892219637","-2.26050316911431",-1.79686980640421,-2.70098106133395
104,"0.499646957714547","-0.425421848141905","-2.22885125388319",-1.72920429616864,-2.65427310202509
105,"0.495867161419468","-0.408319854781021","-2.23063911022916",-1.73477194880969,-2.63895896501018
106,"0.377913561191961","-0.431709445519609","-2.14625790363658",-1.76834434244462,-2.57796734915619
107,"0.249788370249091","-0.42383592336975","-2.15365060178813",-1.90386223153904,-2.57748652515788
108,"0.255136164755213","-0.382286067151676","-2.11780756307632",-1.86267139832111,-2.500093630228
109,"0.0762006432022319","-0.352355644354334","-2.12265208897684",-2.04645144577461,-2.47500773333117
110,"0.0515845138602412","-0.285841407232963","-2.12517899317681",-2.07359447931657,-2.41102040040977
111,"-0.183465629223878","-0.266621514417596","-2.10067350807339",-2.28413913729727,-2.36729502249099
