"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
25,"-1.64594675593814","0.861879680633883","-2.71798267145574",-4.36392942739388,-1.85610299082186
26,"-1.53582889996532","0.861879680633881","-2.71798267145573",-4.25381157142105,-1.85610299082185
27,"-1.06677901157813","0.514843611834177","-2.40510328309638",-3.47188229467451,-1.8902596712622
28,"-0.790592069242989","0.600465683686481","-2.37941290619377",-3.17000497543676,-1.77894722250729
29,"-0.734578433159091","0.588233364041921","-2.20688623159894",-2.94146466475803,-1.61865286755702
30,"-0.469650384177217","0.510549303887746","-2.0974459875821",-2.56709637175932,-1.58689668369435
31,"-0.465560916183182","0.510549303887746","-2.0974459875821",-2.56300690376528,-1.58689668369435
32,"-0.348145338738793","0.569634363181032","-2.0793772432294",-2.42752258196819,-1.50974288004837
33,"-0.0472240850978804","0.324973655589996","-1.87916633759712",-1.926390422695,-1.55419268200712
34,"0.07478674366672","0.324973655589997","-1.87916633759713",-1.80437959393041,-1.55419268200713
35,"-0.000574081534621976","0.423979790075998","-1.97207472937936",-1.97264881091398,-1.54809493930336
36,"-0.0252533588428665","0.461410636587145","-1.96587166134207",-1.99112502018494,-1.50446102475492
37,"-0.014063490597626","0.460067038344162","-2.01290028769189",-2.02696377828952,-1.55283324934773
38,"-0.0865006544222527","0.460067038344161","-2.01290028769189",-2.09940094211414,-1.55283324934773
39,"-0.0284942236932413","0.407056340394622","-2.02383803335813",-2.05233225705137,-1.61678169296351
40,"-0.10739583254127","0.407056340394622","-2.02383803335813",-2.1312338658994,-1.61678169296351
41,"-0.125212277634973","0.428146702632652","-2.08308164514959",-2.20829392278456,-1.65493494251694
42,"-0.125621441123042","0.436926075953207","-2.0807805484428",-2.20640198956584,-1.64385447248959
43,"-0.102908674036755","0.415940793190123","-2.08628084593488",-2.18918951997163,-1.67034005274476
44,"-0.0407474229034304","0.357595213275588","-2.10157337501351",-2.14232079791694,-1.74397816173792
45,"0.0355555135934365","0.385426019583801","-2.09427884789811",-2.05872333430467,-1.70885282831431
46,"0.0324008209609997","0.385426019583801","-2.09427884789812",-2.06187802693712,-1.70885282831432
47,"0.117935854571783","0.371785618069903","-2.07869810072716",-1.96076224615538,-1.70691248265726
48,"0.0970343730845913","0.371785618069903","-2.07869810072716",-1.98166372764257,-1.70691248265726
49,"0.0434548584157345","0.428860101535237","-2.06093332538069",-2.01747846696496,-1.63207322384545
50,"-0.0884126604808021","0.428860101535237","-2.06093332538069",-2.14934598586149,-1.63207322384545
51,"-0.36382639432778","0.510325374182478","-2.03557677059038",-2.39940316491816,-1.5252513964079
52,"-0.538502854366271","0.510325374182479","-2.03557677059038",-2.57407962495665,-1.5252513964079
53,"-0.256533887692198","0.146455058553595","-1.72588089885228",-1.98241478654448,-1.57942584029868
54,"-0.463157081043463","0.0260348432907007","-1.71358437777366",-2.17674145881712,-1.68754953448296
55,"-0.19956505039191","0.157596841284819","-1.69221708016662",-1.89178213055853,-1.5346202388818
56,"-0.399285340288373","0.314400813950384","-1.84490470923526",-2.24419004952363,-1.53050389528488
57,"-0.421646012889993","0.364328014972072","-1.89352124503115",-2.31516725792114,-1.52919323005908
58,"-0.317463089394365","0.252159983193723","-1.8838584418811",-2.20132153127547,-1.63169845868738
59,"-0.360509333881913","0.252159983193722","-1.8838584418811",-2.24436777576301,-1.63169845868738
60,"-0.347601516710814","0.248933618627044","-2.01347634750934",-2.36107786422015,-1.7645427288823
61,"-0.287766428930464","0.179553578662928","-2.00451441409671",-2.29228084302717,-1.82496083543378
62,"-0.299429125642074","0.255972780075871","-2.18249686882556",-2.48192599446763,-1.92652408874969
63,"-0.297144853134271","0.255972780075869","-2.18249686882555",-2.47964172195982,-1.92652408874968
64,"0.406331842649006","0.0134569496361002","-2.13985166646234",-1.73351982381333,-2.12639471682624
65,"0.525811752135314","-0.0960242206234292","-2.12059994729739",-1.59478819516208,-2.21662416792082
66,"0.33564368994976","0.0729684076589279","-2.43740101152297",-2.10175732157321,-2.36443260386404
