"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
45,"1.08647244059374","-0.119032954553111","1.58271310507496",2.6691855456687,1.46368015052185
46,"1.0636322034671","-0.119032954553112","1.58271310507496",2.64634530854206,1.46368015052185
47,"1.30329455795839","-0.284531735378912","1.77175406977975",3.07504862773814,1.48722233440084
48,"1.51211376798659","-0.284531735378913","1.77175406977975",3.28386783776634,1.48722233440084
49,"1.37334106639519","-0.144753065835754","1.81526101915356",3.18860208554875,1.67050795331781
50,"1.24934198126394","-0.144753065835755","1.81526101915357",3.06460300041751,1.67050795331782
51,"1.12657841434692","-0.0770581583830206","1.83633146517396",2.96290987952088,1.75927330679094
52,"1.16732871957762","-0.0770581583830187","1.83633146517395",3.00366018475157,1.75927330679093
53,"1.85702881556714","-0.808960691702811","2.45926547036217",4.31629428592931,1.65030477865936
54,"2.04848240031971","-0.892850624708014","2.46783175906403",4.51631415938374,1.57498113435602
55,"1.75937833117256","-0.828963464077002","2.47820782506549",4.23758615623805,1.64924436098849
56,"1.33341895768458","-0.421796285489634","2.08172940633521",3.41514836401979,1.65993312084558
57,"1.48898475823487","-0.553321899160665","2.20980227191278",3.69878703014765,1.65648037275212
58,"1.66073283968274","-0.721599834792048","2.22429870677683",3.88503154645957,1.50269887198478
59,"1.55047001722493","-0.721599834792048","2.22429870677683",3.77476872400176,1.50269887198478
60,"1.59013652695963","-0.724434110029005","2.11043283309888",3.70056936005851,1.38599872306987
61,"1.44674778099498","-0.590172400551793","2.09309002815349",3.53983780914847,1.5029176276017
62,"1.32107496787192","-0.54646241244564","1.99128824489141",3.31236321276333,1.44482583244577
63,"1.32229971742079","-0.546462412445645","1.99128824489141",3.3135879623122,1.44482583244577
64,"1.97093450260111","-0.658708659195685","2.01102618900206",3.98196069160317,1.35231752980637
65,"2.21584379902372","-0.898459413144945","2.05318516641958",4.2690289654433,1.15472575327463
66,"2.17172559121142","-0.894183089100193","2.04516858000324",4.21689417121466,1.15098549090305
67,"2.31213012109589","-1.04341392425539","2.07739575082267",4.38952587191856,1.03398182656728
68,"2.33017409204133","-1.02219171629715","2.02169654789332",4.35187063993465,0.99950483159617
69,"1.88147390389483","-0.645997390221464","1.67934754762766",3.56082145152249,1.0333501574062
70,"2.04342143298991","-0.909606678106497","1.69407698534003",3.73749841832994,0.784470307233533
71,"1.89010452713553","-1.15217307507533","1.77502166161773",3.66512618875326,0.6228485865424
72,"1.87681376379249","-1.15608921619803","1.77414884394224",3.65096260773473,0.61805962774421
73,"1.82726331322495","-1.12547420512925","1.72521524170308",3.55247855492803,0.59974103657383
74,"1.91896503305585","-1.22170771969759","1.73940018821487",3.65836522127072,0.51769246851728
75,"1.84424813141907","-1.22170771969759","1.73940018821486",3.58364831963393,0.51769246851727
76,"1.85479113665938","-1.21667755842388","1.7421152055956",3.59690634225498,0.52543764717172
77,"1.84089538860815","-1.21667755842388","1.7421152055956",3.58301059420375,0.52543764717172
78,"1.57696709496708","-1.05978992388036","1.68704170524579",3.26400880021287,0.62725178136543
79,"1.87974334977823","-1.30296433735828","1.77240513229157",3.6521484820698,0.46944079493329
80,"2.17547021189557","-1.63678169518095","2.1388977028115",4.31436791470707,0.50211600763055
81,"1.55005963430274","-0.926873980476532","1.49335880624635",3.04341844054909,0.566484825769818
82,"1.18196714532514","-0.547151855144543","1.35588217881852",2.53784932414366,0.808730323673977
83,"1.70522326074883","-0.950096088948505","1.54391824805492",3.24914150880375,0.593822159106415
84,"1.5672593324182","-0.914460800076473","1.53716590307042",3.10442523548862,0.622705102993947
85,"1.56738157290013","-0.914460800076477","1.53716590307042",3.10454747597055,0.622705102993943
86,"1.29853768716364","-0.723284046854812","1.44588463387012",2.74442232103376,0.722600587015308
87,"1.63562881961718","-0.989291252978817","1.57289524045403",3.20852406007121,0.583603987475213
88,"1.74391037371631","-1.10829229979568","1.48101188958188",3.22492226329819,0.3727195897862
89,"1.42897681326352","-1.10829229979568","1.48101188958188",2.9099887028454,0.3727195897862
90,"-0.554223023137163","0.879683416304464","-0.384979837457358",-0.939202860594521,0.494703578847106
91,"-0.458078500116597","0.879683416304466","-0.38497983745736",-0.843058337573957,0.494703578847106
92,"-0.457152394170374","0.85221339865557","-0.446600763507026",-0.9037531576774,0.405612635148544
93,"-0.521686421559856","0.882537185677295","-0.46099385381674",-0.982680275376596,0.421543331860555
94,"-1.15039006680557","1.5217921418264","-1.11127768499398",-2.26166775179955,0.41051445683242
95,"-1.11302788465423","1.79659342730175","-1.24244434425546",-2.35547222890969,0.55414908304629
