"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
46,"-0.503264865597975","-0.543735689969259","-1.58088208500653",-2.0841469506045,-2.12461777497579
47,"-0.318696292406272","-0.662322530444145","-1.44542627915222",-1.76412257155849,-2.10774880959637
48,"-0.328803911219513","-0.662322530444146","-1.44542627915222",-1.77423019037173,-2.10774880959637
49,"-0.332913949969194","-0.656427039868915","-1.44359127234589",-1.77650522231508,-2.10001831221481
50,"-0.359388856582947","-0.656427039868914","-1.44359127234589",-1.80298012892884,-2.1000183122148
51,"-0.1846080734402","-0.740130762552746","-1.46964455813769",-1.65425263157789,-2.20977532069044
52,"-0.111041014599739","-0.740130762552746","-1.46964455813769",-1.58068557273743,-2.20977532069044
53,"-0.232231818514033","-0.636350872083508","-1.55797329029109",-1.79020510880512,-2.1943241623746
54,"0.032273991307598","-0.68624017437301","-1.55287892257334",-1.52060493126574,-2.23911909694635
55,"0.466922321218793","-0.755160027207002","-1.56407236010841",-1.09715003888962,-2.31923238731541
56,"0.484010762676865","-0.745890933786205","-1.57309812568041",-1.08908736300354,-2.31898905946661
57,"-0.0596284734579231","-0.238332092988865","-2.06733277226974",-2.12696124572766,-2.3056648652586
58,"-0.0893386869744382","-0.295271806690748","-2.06242765593491",-2.15176634290935,-2.35769946262566
59,"-0.113329468589821","-0.295271806690747","-2.06242765593491",-2.17575712452473,-2.35769946262566
60,"-0.136901898303312","-0.296806307733273","-2.12407562137891",-2.26097751968222,-2.42088192911218
61,"0.0382267371501714","-0.47647098816118","-2.10086804030185",-2.06264130315168,-2.57733902846303
62,"0.134621606339126","-0.453397113950698","-2.1546077378668",-2.01998613152767,-2.6080048518175
63,"0.135278461929923","-0.453397113950703","-2.15460773786679",-2.01932927593687,-2.60800485181749
64,"0.99437721027744","-0.472221579792518","-2.15129754919273",-1.15692033891529,-2.62351912898525
65,"1.2642297544125","-0.741394659977403","-2.10396480207102",-0.83973504765852,-2.84535946204842
66,"1.17764452432452","-0.703364885768941","-2.17525710081774",-0.99761257649322,-2.87862198658668
67,"1.38606131558658","-0.939768393786032","-2.12420454035156",-0.73814322476498,-3.06397293413759
68,"1.43451052039218","-0.925783397181587","-2.16090916436475",-0.72639864397257,-3.08669256154634
69,"1.30127122191033","-0.799672499189949","-2.27567415909611",-0.97440293718578,-3.07534665828606
70,"1.16117488408454","-0.742587938152943","-2.27886381714222",-1.11768893305768,-3.02145175529516
71,"1.15804074745625","-0.703202759111776","-2.29200669516434",-1.13396594770809,-2.99520945427612
