"","Banks$Tone"
"1079",-1
"1080",NA
"1081",NA
"1082",1
"1083",1
"1084",NA
"1085",NA
"1086",NA
"1087",-1
"1088",-1
"1089",NA
"1090",-1
"1091",NA
"1092",0
"1093",NA
"1094",NA
"1095",NA
"1096",NA
"1097",NA
"1098",-1
"1099",1
"1100",0
"1101",-0.5
"1102",NA
"1103",NA
"1104",1
"1105",NA
"1106",-0.454545454545455
"1107",NA
"1108",NA
"1109",NA
"1110",1
"1111",1
"1112",NA
"1113",NA
"1114",-1
"1115",NA
"1116",-0.333333333333333
"1117",0.5
"1118",1
"1119",NA
"1120",1
"1121",NA
"1122",0.333333333333333
"1123",NA
"1124",0.6
"1125",1
"1126",0.142857142857143
"1127",1
"1128",1
"1129",NA
"1130",NA
"1131",NA
"1132",NA
"1133",NA
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",0
"1139",0.333333333333333
"1140",1
"1141",NA
"1142",-1
"1143",1
"1144",NA
"1145",0
"1146",NA
"1147",-1
"1148",NA
"1149",NA
"1150",0.714285714285714
"1151",NA
"1152",NA
"1153",-1
"1154",-1
"1155",NA
"1156",NA
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161",0.428571428571429
"1162",-1
"1163",NA
"1164",NA
"1165",1
"1166",NA
"1167",NA
"1168",0
"1169",1
"1170",0
"1171",1
"1172",NA
"1173",1
"1174",NA
"1175",NA
"1176",0
"1177",1
"1178",1
"1179",NA
"1180",NA
"1181",NA
"1182",1
"1183",1
"1184",NA
"1185",1
"1186",1
"1187",NA
"1188",1
"1189",NA
"1190",NA
"1191",NA
"1192",-1
"1193",NA
"1194",NA
"1195",1
"1196",1
"1197",NA
"1198",1
"1199",1
"1200",NA
"1201",NA
"1202",NA
"1203",NA
"1204",NA
"1205",NA
"1206",NA
"1207",NA
"1208",NA
"1209",1
"1210",1
"1211",NA
"1212",NA
"1213",NA
"1214",NA
"1215",NA
"1216",NA
"1217",NA
"1218",1
"1219",NA
"1220",1
"1221",1
"1222",NA
"1223",1
"1224",1
"1225",NA
"1226",NA
"1227",NA
"1228",0.333333333333333
"1229",NA
"1230",NA
"1231",NA
"1232",1
"1233",NA
"1234",NA
"1235",NA
"1236",NA
"1237",NA
"1238",NA
"1239",1
"1240",0.333333333333333
"1241",1
"1242",NA
"1243",NA
"1244",NA
"1245",-1
"1246",NA
"1247",1
"1248",-1
"1249",-1
"1250",-0.777777777777778
"1251",NA
"1252",NA
"1253",NA
"1254",1
"1255",-1
"1256",NA
"1257",-0.4
"1258",NA
"1259",NA
"1260",-1
"1261",NA
"1262",NA
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",NA
"1268",NA
"1269",NA
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",NA
"1278",NA
"1279",NA
"1280",0
"1281",NA
"1282",NA
"1283",NA
"1284",NA
"1285",NA
"1286",NA
"1287",NA
"1288",NA
"1289",NA
"1290",1
"1291",NA
"1292",NA
"1293",NA
"1294",-1
"1295",NA
"1296",NA
"1297",NA
"1298",-1
