"Group.1","Group.2","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"Yes","1986-Q1",0.866666666666667,-0.5,-1,0.411111111111111
"No","1986-Q2",-0.5,0.06,-0.123809523809524,0.2
"Yes","1986-Q2",1,1,0.125,1
"No","1986-Q3",0.5,1,-1,-0.666666666666667
"Yes","1986-Q3",0.708333333333333,1,-1,-0.416666666666667
"No","1986-Q4",NA,NA,-0.0511363636363635,-1
"Yes","1986-Q4",0.666666666666667,0.611111111111111,0,0.466666666666667
"No","1987-Q1",-0.833333333333333,-0.857142857142857,0.104166666666667,-0.5
"Yes","1987-Q1",0.7,-0.07,0.412698412698413,-0.8
"No","1987-Q2",-0.333333333333333,0.75,0.0476190476190476,-0.625
"Yes","1987-Q2",0.166666666666666,-0.2,1,0.5
"No","1987-Q3",0.666666666666667,NA,NA,1
"Yes","1987-Q3",1,-1,0.666666666666667,0
"No","1987-Q4",1,-1,1.851275209519e-17,0
"Yes","1987-Q4",0.9375,0.553571428571429,0.181818181818182,-0.708333333333333
"No","1988-Q1",0.5,0,0.090909090909091,-1
"Yes","1988-Q1",0.311111111111111,-0.444444444444444,-0.617777777777778,-0.5
"No","1988-Q2",1,0.6,-0.142857142857143,-0.0833333333333332
"Yes","1988-Q2",0.333333333333333,NA,-0.5,-1
"No","1988-Q3",1,NA,0.4,NA
"Yes","1988-Q3",0.333333333333333,1,NA,-1
"No","1988-Q4",0,-1,0.104166666666667,-0.5
"Yes","1988-Q4",1,1,-1,-0.259259259259259
"No","1989-Q1",1,-0.68,-0.583333333333333,-0.722222222222222
"Yes","1989-Q1",0.0606060606060606,-0.06,0.333333333333333,-0.977777777777778
"No","1989-Q2",1,-0.285714285714285,-0.375,-0.541666666666667
"Yes","1989-Q2",-0.6,0.528571428571429,-0.238095238095238,-0.5
"No","1989-Q3",-1,-0.333333333333333,0,-1
"Yes","1989-Q3",-0.5,-0.666666666666667,NA,1
"No","1989-Q4",0.9375,1,-0.825396825396825,NA
"Yes","1989-Q4",0.261904761904762,0.444444444444445,0,1
"No","1990-Q1",0,-0.333333333333333,-0.435151515151515,-1
"Yes","1990-Q1",0.619047619047619,0.285714285714286,-0.366666666666667,0.119047619047619
"No","1990-Q2",NA,-0.142857142857143,-0.021256038647343,1
"Yes","1990-Q2",0.561904761904762,0.714285714285714,-0.284848484848485,0.333333333333333
"No","1990-Q3",1,-1,-0.0147515527950313,1
"Yes","1990-Q3",0,1,0.333333333333333,-1
"No","1990-Q4",NA,0,-0.290322580645161,NA
"Yes","1990-Q4",-0.666666666666667,1,-0.5,-0.6
"No","1991-Q1",1,1,-0.151515151515152,NA
"Yes","1991-Q1",0.542857142857143,-0.636363636363636,-0.238095238095238,-0.222222222222222
"No","1991-Q2",1,NA,-0.875,1
"Yes","1991-Q2",0.333333333333333,-1,-0.554166666666667,-1
"No","1991-Q3",0,NA,-0.3,-1
"Yes","1991-Q3",1,0.5,0.7,-0.12
"No","1991-Q4",1,NA,-0.244444444444444,NA
"Yes","1991-Q4",0.5,-0.5,0.416666666666667,0
"No","1992-Q1",0.666666666666667,1,-0.6,-1
"Yes","1992-Q1",0.857142857142857,-0.2,0.566666666666667,0.555555555555555
"No","1992-Q2",NA,NA,-0.155555555555555,-1
"Yes","1992-Q2",0.375,0.777777777777778,-0.0818070818070818,0.5
"No","1992-Q3",NA,NA,-0.4,-1
"Yes","1992-Q3",0.809523809523809,1,-0.0555555555555557,0.375
"No","1992-Q4",1,NA,-0.25,NA
"Yes","1992-Q4",0.555555555555555,1,0.75,0
"No","1993-Q1",0.0634920634920635,NA,-0.485714285714286,-0.333333333333333
"Yes","1993-Q1",0.425274725274725,0.407407407407407,0,-0.625
"No","1993-Q2",1,NA,-0.857142857142857,NA
"Yes","1993-Q2",0.666666666666667,0.714285714285714,-0.5,0
"No","1993-Q3",NA,1,0.333333333333333,-1
"Yes","1993-Q3",0.666666666666667,1,0.25,1
"No","1993-Q4",1,1,-1,NA
"Yes","1993-Q4",0.5,1,-0.111111111111111,-0.5
"No","1994-Q1",NA,1,0.666666666666667,-1
"Yes","1994-Q1",0.428571428571429,-0.25,-0.583333333333333,0.55
"No","1994-Q2",NA,1,0.333333333333333,NA
"Yes","1994-Q2",0.29047619047619,-0.25,-0.826388888888889,0.471428571428571
"No","1994-Q3",1,NA,-0.2,-1
"Yes","1994-Q3",0.666666666666667,1,0.0714285714285715,0.3
"No","1994-Q4",1,NA,0.25,NA
"Yes","1994-Q4",-0.245833333333333,1,0.430555555555556,0.433333333333333
"No","1995-Q1",NA,NA,0.5,NA
"Yes","1995-Q1",0.115384615384615,0.666666666666667,-0.166666666666667,-0.4
