Group.1,Group.2,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Dummy
No,2020-Q1,1,0.333333333,-0.005555556,0,E
No,2020-Q2,NA,0.333333333,0.25,1,E
No,2020-Q3,0.554978355,0,0.266666667,1,E
No,2020-Q4,0.848484848,0.5,0.236363636,1,E
Yes,1965-Q1,NA,NA,NA,NA,A
Yes,1965-Q2,NA,NA,NA,NA,A
Yes,1965-Q3,1,NA,NA,NA,A
Yes,1965-Q4,0.333333333,1,1,NA,A
Yes,1966-Q1,1,NA,NA,-1,A
Yes,1966-Q2,NA,NA,NA,NA,A
Yes,1966-Q3,-1,1,0.375,1,A
Yes,1966-Q4,0.333333333,1,0,NA,A
Yes,1967-Q1,0.333333333,1,1,0.444444444,A
Yes,1967-Q2,1,1,1,0.333333333,A
Yes,1967-Q3,1,1,NA,1,A
Yes,1967-Q4,1,0.5,0,-1,A
Yes,1968-Q1,0.25,1,0.111111111,-1,A
Yes,1968-Q2,1,1,NA,-0.333333333,A
Yes,1968-Q3,1,1,1,-0.5,A
Yes,1968-Q4,NA,0.333333333,-1,1,A
Yes,1969-Q1,-0.666666667,1,1,1,A
Yes,1969-Q2,-0.156462585,NA,1,-1,A
Yes,1969-Q3,NA,NA,-1,NA,A
Yes,1969-Q4,-0.266666667,-1,1,1,A
Yes,1970-Q1,0,0.416666667,-1,0.6,A
Yes,1970-Q2,-0.333333333,-0.5,-0.666666667,1,A
Yes,1970-Q3,0.5,NA,1,0.875,A
Yes,1970-Q4,0,1,NA,-0.5,A
Yes,1971-Q1,0.222222222,0.75,1,1,A
Yes,1971-Q2,0.183333333,0.5,1,-1,A
Yes,1971-Q3,0.5,0.333333333,NA,NA,A
Yes,1971-Q4,-0.533333333,-1,-0.2,-1,A
Yes,1972-Q1,-0.303030303,0.05,0.5,0.333333333,A
Yes,1972-Q2,-0.122222222,0.666666667,NA,NA,A
Yes,1972-Q3,1,NA,NA,-0.5,A
Yes,1972-Q4,0.666666667,1,1,-0.333333333,A
Yes,1973-Q1,0.833333333,-0.5,1,1,A
Yes,1973-Q2,0.571428571,NA,0.888888889,-1,A
Yes,1973-Q3,0.166666667,-0.333333333,-0.4,NA,A
Yes,1973-Q4,-0.533333333,0.333333333,1,NA,A
Yes,1974-Q1,0.916666667,NA,-1,0,A
Yes,1974-Q2,0,0.388888889,1,0,A
Yes,1974-Q3,0.125,1,0.333333333,0.333333333,A
Yes,1974-Q4,0.166666667,0.75,0.333333333,0,A
Yes,1975-Q1,-0.75,-0.888888889,0.5,0,A
Yes,1975-Q2,0.093333333,-1,1,-1,B
Yes,1975-Q3,0.25,0.666666667,0.5,-0.19047619,B
Yes,1975-Q4,-0.75,0,0.733333333,-0.644444444,B
Yes,1976-Q1,-1,-1,0.333333333,0.777777778,B
Yes,1976-Q2,0.666666667,NA,0,NA,B
Yes,1976-Q3,1,-1,-1,1,B
Yes,1976-Q4,0.5,-1,0.333333333,1,B
Yes,1977-Q1,-0.333333333,-0.333333333,NA,1,B
Yes,1977-Q2,-0.133333333,0,0,-1,B
Yes,1977-Q3,-0.466666667,NA,NA,0,B
Yes,1977-Q4,0.333333333,0.6,1,0.166666667,B
Yes,1978-Q1,-1,0.4,0.333333333,-0.6,B
Yes,1978-Q2,0.466666667,0,1,-0.714285714,B
Yes,1978-Q3,-0.166666667,0.666666667,NA,-1,B
Yes,1978-Q4,0.15,-0.166666667,-0.333333333,-0.666666667,B
Yes,1979-Q1,-0.19047619,-0.333333333,0.166666667,-0.8,B
Yes,1979-Q2,0.222222222,-0.777777778,1,0,B
Yes,1979-Q3,-0.166666667,-0.333333333,NA,-0.333333333,B
Yes,1979-Q4,-0.166666667,0,-0.785714286,1,B
Yes,1980-Q1,-0.5,NA,1,0,B
Yes,1980-Q2,-0.833333333,-1,-0.166666667,0.166666667,B
Yes,1980-Q3,1,NA,-1,0,B
Yes,1980-Q4,0.333333333,1,0,0,B
Yes,1981-Q1,-1,NA,0.133333333,-1,B
Yes,1981-Q2,-1,NA,-0.166666667,-1,B
Yes,1981-Q3,-1,-0.333333333,-0.5,-1,B
Yes,1981-Q4,-1,NA,0,-0.166666667,B
Yes,1982-Q1,-1,-1,1,-0.75,B
Yes,1982-Q2,-0.386666667,0,0.555555556,0.25,B
Yes,1982-Q3,1,NA,NA,NA,B
Yes,1982-Q4,NA,1,1,-0.333333333,B
Yes,1983-Q1,-1,NA,0,-1,B
Yes,1983-Q2,0.333333333,1,1,-1,B
Yes,1983-Q3,NA,NA,1,-0.333333333,B
Yes,1983-Q4,0.5,0.733333333,0.133333333,-0.2,B
Yes,1984-Q1,0.388888889,NA,NA,0.555555556,B
Yes,1984-Q2,-0.222222222,-1,1,-0.174603175,B
Yes,1984-Q3,-1,NA,0.333333333,NA,B
